Carbon_Source,GPT4o_Reasoning,GPT5_Recommendation,GPT5_Confidence,GPT5_Reasoning,Suggested_Compound,Database_IDs,Metabolic_Pathway
ISOThrive-prebiotic lot C,ISOThrive-prebiotic lot C is likely a proprietary blend and not a single defined compound.,use_alternative,medium,"ISOThrive-prebiotic lot C is a proprietary mixture (ISOThrive publicly markets MIMO/isomalto-oligosaccharides) and does not exist as a single defined entity in KEGG, ModelSEED, BiGG, or MetaCyc; such variable-DP blends cannot be encoded cleanly as one metabolite/exchange. Gut bacteria metabolize isomalto-oligosaccharides via α-1,6-glucosidases/isomaltase within starch/sucrose pathways to glucose, which is then fermented to SCFAs (see general prebiotic overviews, e.g., Gibson et al., 2017 ISAPP consensus; reviews on isomalto-oligosaccharides fermentation).",isomaltose,,"Starch and sucrose metabolism; α-1,6-glucosidase/isomaltase-mediated hydrolysis of isomalto-oligosaccharides to glucose, followed by glycolysis and fermentation"
ISOThrive-prebiotic lot D,ISOThrive-prebiotic lot D is likely a proprietary blend and not a single defined compound.,use_alternative,medium,"ISOThrive-prebiotic lot D is a proprietary prebiotic syrup and not a single defined metabolite; it does not appear as a compound in KEGG, ModelSEED, BiGG, or MetaCyc, so it cannot be represented as a single exchange metabolite. The product is most consistent with maltosyl-isomaltooligosaccharides (IMO/MIMO: short α-1,6-linked glucans such as isomaltose, panose, isomaltotriose), which bacteria metabolize via α-1,6-oligosaccharide hydrolases/phosphorylases (e.g., EC 3.2.1.10, EC 3.2.1.11, EC 2.4.1.79) feeding glucose/glucose-1-phosphate into glycolysis (KEGG map00500; MetaCyc entries for isomaltose degradation). Empirical fermentation of IMO by Bifidobacterium/Lactobacillus is well documented in the prebiotic literature, supporting the pathway choice, but the proprietary mixture precludes a single-compound exchange.",isomaltose,,"Isomaltooligosaccharide utilization (α-1,6-glucans): oligo-1,6-glucosidase/dextranase or isomaltose phosphorylase -> glucose and/or glucose-1-phosphate -> glycolysis (KEGG map00500; EC 3.2.1.10, EC 3.2.1.11, EC 2.4.1.79)"
L-Citrulline,L-Citrulline is a defined compound but not a typical carbon source for bacteria.,use,high,"L‑Citrulline is a standard metabolite present in KEGG (C00327; map00330 Arginine/Proline metabolism), BiGG (citr-L), and MetaCyc (CITRULLINE), and it participates in the bacterial arginine deiminase (ADI) system. Experimental studies in lactic acid bacteria and enterococci show citrulline uptake and catabolism to ornithine and ATP via ornithine carbamoyltransferase and carbamate kinase (MetaCyc: ARGININE-DEIMINASE-PWY), so it can be modeled with a single exchange reaction (e.g., EX_citr-L[e]) when the organism encodes arcA/arcB/arcC/arcD. While not a universal carbon source, its inclusion in GEMs is biochemically well-supported.",,KEGG:C00327,"Arginine deiminase (ADI) pathway; Arginine and proline metabolism (citrulline -> ornithine + carbamoyl phosphate via ornithine carbamoyltransferase; carbamate kinase -> ATP, NH3, CO2)"
Prebiotin-prebiotic,Prebiotin-prebiotic is likely a commercial product and not a single defined compound.,use_alternative,medium,"Prebiotin-prebiotic is a proprietary, mixed prebiotic fiber (chicory-root inulin/oligofructose) and is not a single defined metabolite; it does not appear as a compound in KEGG, BiGG, ModelSEED, or MetaCyc. Bacterial metabolism of inulin/FOS is well documented (e.g., Bifidobacterium and Lactobacillus use β-fructofuranosidases/inulinases to release fructose), and KEGG Glycan and MetaCyc curate fructan degradation pathways, so modeling the mixture as a fructose exchange is a practical proxy (see Roberfroid 2007; De Vuyst & Leroy 2011).",Fructose,KEGG:C00095; BiGG:fru; MetaCyc:FRUCTOSE,Fructan (inulin/FOS) degradation via β-fructofuranosidase/inulinase to fructose; fructose uptake (PTS/ABC) and catabolism via fructokinase into glycolysis or the bifid shunt (phosphoketolase) in Bifidobacterium.
PreticX-prebiotic,PreticX-prebiotic is likely a proprietary blend and not a single defined compound.,use_alternative,high,"PreticX-prebiotic is a branded mixture of short-chain xylo-oligosaccharides (XOS), not a single defined metabolite, and does not have entries in KEGG, ModelSEED, BiGG, or MetaCyc as a unique compound. XOS are hydrolyzed by bacterial β-xylosidases to D-xylose, which is then catabolized via xylose isomerase (xylA) and xylulokinase (xylB) to D-xylulose-5-phosphate feeding the pentose phosphate pathway (e.g., KEGG map00040/map00030); numerous studies and reviews document XOS utilization by Bifidobacterium and related taxa (e.g., Riviere et al., Frontiers in Microbiology, 2016). Because PreticX is a heterogeneous mixture, it cannot be cleanly represented as a single exchange metabolite; use D-xylose as a proxy, or explicitly model extracellular XOS hydrolysis if your model supports oligosaccharide transport and β-xylosidase steps.",D-xylose,KEGG:C00181; BiGG:xyl__D,Xylose utilization: D-xylose uptake → xylA (xylose isomerase) → D-xylulose → xylB (xylulokinase) → D-xylulose-5-phosphate → pentose phosphate pathway; XOS are first cleaved by extracellular/periplasmic β-xylosidases to release D-xylose.
Promitor-fiber,Promitor-fiber is likely a proprietary blend and not a defined chemical compound.,use_alternative,high,"Promitor-fiber is a branded soluble corn fiber (resistant maltodextrin) comprising a heterogeneous mixture of glucose-based oligo-/polysaccharides with mixed linkages, so it is not a single defined metabolite and has no entry as such in KEGG, ModelSEED, BiGG, or MetaCyc (see Tate & Lyle PROMITOR product literature; KEGG map00500: Starch and sucrose metabolism). While gut bacteria do ferment resistant dextrins via alpha-glucan degradation pathways to maltodextrins/maltose/glucose, genome-scale models require defined metabolites; a practical proxy is to supply maltodextrin oligomers (e.g., maltotriose) rather than a single “Promitor” exchange.",maltotriose,,"Starch and sucrose metabolism (KEGG map00500); alpha-glucan degradation (amylases, debranching enzymes) → maltodextrins/maltose → cytosolic alpha-glucosidases → glucose → glycolysis"
Sunfiber-fiber,"Sunfiber-fiber is likely a proprietary or commercial product, not a defined chemical compound.",use_alternative,high,"Sunfiber-fiber is a branded partially hydrolyzed guar gum (PHGG), a galactomannan polymer, not a single defined metabolite; it does not have a specific entry in KEGG, BiGG, ModelSEED, or MetaCyc. PHGG is fermented by gut bacteria after extracellular/outer-membrane hydrolysis to mannose and galactose, which then enter standard central metabolism (mannose→F6P via ManA; galactose via the Leloir pathway) [Taiyo Sunfiber product information; general prebiotic fiber literature on PHGG/galactomannan fermentation].",D-mannose (primary proxy; optionally co-supply D-galactose at ~1:2 galactose:mannose ratio for guar galactomannan),KEGG:C00159 (D-mannose); KEGG:C00133 (D-galactose),"Extracellular galactomannan depolymerization by endo-β-mannanases and α-galactosidases (e.g., Bacteroides/PREVOTELLA PULs), yielding mannose and galactose; mannose utilization via phosphorylation to mannose-6-P and isomerization (ManA) to fructose-6-P entering glycolysis; galactose via the Leloir pathway (GalK/GalT/GalE) to UDP-galactose/glucose-1-P."
Supernatant; Agrobacterium rhizogenes K599 grown in Agro_defined_trehalose (~7.5 mM 3-keto-trehalose),"The compound name suggests it is a supernatant from a bacterial culture, which is likely a complex mixture.",use_alternative,high,"A culture supernatant is an undefined mixture and is not represented as a single metabolite in KEGG, BiGG, MetaCyc, or ModelSEED, so it cannot be modeled as one exchange reaction. The reported ~7.5 mM 3‑ketotrehalose arises from trehalose oxidation (trehalose oxidase, EC 1.1.3.4), and trehalose catabolism (trehalase/trehalose‑phosphate and trehalose oxidase → 3‑ketotrehalose → glucose + glucosone) is documented in MetaCyc (trehalose degradation via trehalose oxidase) and KEGG (EC 1.1.3.4), making trehalose a suitable, well‑curated proxy carbon source.",trehalose,KEGG:C01083; BiGG:tre; MetaCyc:TREHALOSE,"Trehalose uptake/catabolism via trehalase (EC 3.2.1.28), trehalose phosphorylase (EC 2.4.1.64), trehalose-6-phosphate pathway; and trehalose oxidase (EC 1.1.3.4) → 3-ketotrehalose → glucose + glucosone (feeding into oxidative glucose/Entner–Doudoroff routes)."
Vitafiber-prebiotic,"Vitafiber-prebiotic is a commercial product and likely a proprietary blend, not a single defined compound.",use_alternative,medium,"Vitafiber-prebiotic is a branded product marketed as an isomaltooligosaccharide (IMO) prebiotic mixture (α-1,6-linked glucooligosaccharides of varying DP), not a single defined molecule, and it does not appear as a compound entry in KEGG, ModelSEED, BiGG, or MetaCyc. IMO are experimentally shown to be utilized by gut bacteria (e.g., Bifidobacterium, Lactobacillus) via oligo-1,6-glucosidase/α-glucosidase pathways yielding glucose (Sheu et al., 2008; Goffin et al., 2011), so modeling with a specific component such as isomaltose is more tractable than a single exchange for the proprietary blend.",isomaltose,,"Isomaltose uptake; intracellular hydrolysis by oligo-1,6-glucosidase/α-glucosidase to glucose; entry into glycolysis."
Vitagos-prebiotic,Vitagos-prebiotic appears to be a commercial product and may not be a single defined compound.,use_alternative,medium,"Vitagos-prebiotic appears to be a branded galacto-oligosaccharide (GOS) mixture produced from lactose via β-galactosidase transgalactosylation, not a single defined metabolite; it is not indexed as a unique compound in KEGG, ModelSEED, BiGG, or MetaCyc, making a single exchange reaction inappropriate. Bacterial utilization of GOS (especially by Bifidobacterium and Lactobacillus) is well documented, proceeding via β-galactosidases and galactose Leloir pathway (Mussatto & Mancilha, Carbohydr Polym, 2007; Tzortzis et al., Appl Microbiol Biotechnol, 2005). For genome-scale modeling, the best proxy is lactose, which captures the uptake and hydrolysis steps feeding galactose/glucose metabolism.",lactose,KEGG:C00243; BiGG:lcts; MetaCyc:LACTOSE,"Lactose transport and hydrolysis by β-galactosidase (lacZ) to glucose + galactose; galactose catabolism via the Leloir pathway (galK/galT/galE); glucose through glycolysis; in Bifidobacterium, flux proceeds via the bifid shunt (F6PPK)."
WakoIMO-prebiotic,"WakoIMO-prebiotic appears to be a proprietary blend, not a single defined compound.",use_alternative,medium,"WakoIMO-prebiotic is a proprietary isomaltooligosaccharide (IMO) mixture (DP2–10 α-1,6-linked glucose oligomers such as isomaltose, panose, isomaltotriose) rather than a single defined metabolite, and it does not appear as a unique compound in KEGG, ModelSEED, BiGG, or MetaCyc; only its constituent sugars are curated. While bacterial utilization of IMOs is well documented (e.g., Bifidobacterium/Lactobacillus via GH13/31 α-1,6-glucosidases/oligo-1,6-glucan hydrolases in KEGG map00500 starch/sucrose metabolism), a GEM requires a specific metabolite, so representing the proprietary blend as a single exchange is not biochemically well-defined. Use isomaltose as a proxy carbon source (common IMO component) or panose if organism-specific transport/α-glucosidase is known.",isomaltose,,"Starch and sucrose metabolism; α-1,6-glucan degradation via oligo-1,6-glucosidase (EC 3.2.1.10); IMO utilization pathways in bifidobacteria/lactobacilli"
Yacontrol-prebiotic,"The compound 'Yacontrol-prebiotic' appears to be a proprietary product, and its exact chemical composition is unclear from the name alone.",use_alternative,medium,"‘Yacontrol-prebiotic’ is a proprietary name with no resolvable entry in KEGG, ModelSEED, BiGG, or MetaCyc, so it cannot be encoded as a single metabolite/exchange. Commercial prebiotics are typically fructan-type oligosaccharides (FOS/inulin), which are experimentally metabolized by bifidobacteria and lactobacilli via β-fructofuranosidase/inulinase to fructose/sucrose (e.g., 1-kestose, nystose) (Roberfroid 2007; Sanz et al. 2005; Gibson & Hutkins 2017). Therefore, represent the substrate as explicit FOS oligomers or, if unavailable in your model, use sucrose and fructose exchanges as proxies.","Fructooligosaccharides (FOS; e.g., 1-kestose and nystose) or, if unavailable, sucrose + D-fructose","KEGG:C00089 (sucrose), KEGG:C00095 (D-fructose)",Fructan (inulin/FOS) degradation via β-fructofuranosidase/inulinase to sucrose/fructose; sucrose/fructose transport; glycolysis; bifid shunt in Bifidobacterium
