Carbon_Source,Suitable,Category,Recommendation,Reasoning,Suggested_Alternative
Chondroitin sulfate A sodium salt from bovine trachea,False,polymer,use_monomer,"Chondroitin sulfate A sodium salt is a polydisperse sulfated glycosaminoglycan from tissue, not a single defined metabolite and not a typical bacterial carbon source; model via its monomeric sugars instead.",D-Glucuronic acid
Citric Acid,True,simple_metabolite,use,Citric acid (citrate) is a defined single metabolite that many bacteria can catabolize and is readily mapped in databases like KEGG/ModelSEED.,
CravingZGone-prebiotic,False,proprietary,exclude,"Brand/prebiotic product name indicates a proprietary blend, not a defined single metabolite mappable to GEM databases.",D-Fructose
Cytidine,True,simple_metabolite,use,"Defined nucleoside that maps to KEGG/ModelSEED, is a single metabolite, and many bacteria can catabolize it (e.g., via nucleoside phosphorylase to ribose-1-phosphate).",
Cytosine,False,simple_metabolite,manual_review,"Cytosine is a defined nucleobase and database-mappable, but it is not a typical carbon source and its catabolism is organism-specific.",D-Glucose
"D,L-Malic Acid",,error,manual_review,GPT-4o evaluation failed,
D-(-)-tagatose,True,simple_metabolite,use,"D-(-)-tagatose is a defined monosaccharide (ketohexose) that can be represented as a single metabolite, is metabolized by bacteria via the tagatose-6-phosphate pathway, and is mappable in biochemical databases (e.g., KEGG/ModelSEED).",
D-Alanine,True,simple_metabolite,use,"Defined single amino acid that many bacteria catabolize (e.g., via racemase/oxidase to pyruvate) and it maps to standard databases (e.g., KEGG, ModelSEED, ChEBI).",
D-Arabinose,True,simple_metabolite,use,"Defined monosaccharide (pentose) that can be represented as a single metabolite, is metabolized by various bacteria, and maps to databases like KEGG/ModelSEED.",
D-Cellobiose,True,simple_metabolite,use,"Defined disaccharide of two D-glucose units; many microbes metabolize it and it maps to standard databases (e.g., KEGG/ModelSEED) as a single metabolite.",
D-Fructose,True,simple_metabolite,use,"D-Fructose is a defined monosaccharide that many bacteria metabolize and can be represented as a single metabolite and mapped in databases (e.g., KEGG, ModelSEED).",
D-Galactose,True,simple_metabolite,use,D-Galactose is a defined monosaccharide commonly metabolized by bacteria and is represented as a single metabolite in databases like KEGG and ModelSEED.,
D-Galacturonic Acid monohydrate,True,simple_metabolite,use,"A defined single compound; the monohydrate simply yields D-galacturonic acid in solution, which many bacteria can catabolize and is mappable (e.g., KEGG/BiGG/ModelSEED as D-galacturonate).",D-Galacturonate (D-galacturonic acid)
D-Gluconic Acid sodium salt,True,simple_metabolite,use,"Sodium D-gluconate is a defined salt of D-gluconic acid; modeled as the gluconate anion, a common bacterial carbon source with database entries (e.g., KEGG C00257).",
D-Glucosamine Hydrochloride,True,simple_metabolite,use,Defined salt of D-glucosamine that dissociates in solution; glucosamine is a common bacterial carbon source and maps to KEGG/ModelSEED.,D-Glucosamine
D-Glucose,True,simple_metabolite,use,"Defined monosaccharide readily metabolized by bacteria and represented as a single metabolite (e.g., KEGG C00031, ModelSEED cpd00027).",
D-Glucose-6-Phosphate sodium salt,True,simple_metabolite,use,"Defined small molecule (glucose 6-phosphate; ignore Na+ counterion), representable as a single metabolite, usable as a carbon source when transport exists, and mappable (e.g., KEGG C00092).",
D-Glucuronic Acid,True,simple_metabolite,use,Defined single compound (uronic acid) that many bacteria can catabolize via glucuronate pathways and is mappable in KEGG/ModelSEED/BiGG.,
D-Leucrose,False,simple_metabolite,manual_review,"Defined disaccharide (sucrose isomer) that can be a single metabolite, but it is uncommon as a carbon source and may lack broad database support—verify organism capability and mapping.",D-Glucose
D-Lysine,True,simple_metabolite,manual_review,"Defined D-amino acid that can be represented as a single metabolite and mapped to KEGG/ModelSEED, but D-lysine catabolism is organism-specific and not a typical carbon source.",L-Lysine
D-Maltose monohydrate,True,simple_metabolite,use,Defined disaccharide (hydrate form) that maps to maltose in databases and is commonly metabolized by bacteria; hydration water is irrelevant in modeling.,
D-Mannitol,True,simple_metabolite,use,Defined sugar alcohol (C6H14O6) widely used as a bacterial carbon source and mappable in KEGG/ModelSEED as a single metabolite.,
D-Mannose,True,simple_metabolite,use,"Defined monosaccharide that many bacteria can catabolize (e.g., via mannose-6-phosphate) and is mapped in databases like KEGG (C00159).",
D-Raffinose pentahydrate,True,simple_metabolite,use,"Defined trisaccharide (hydrate) that can be represented as raffinose in GEMs; commonly used as a carbon source and mappable (e.g., KEGG C00492).",
D-Ribose,True,simple_metabolite,use,Defined pentose sugar metabolized via ribokinase to ribose-5-phosphate (PPP); represented as a single metabolite and maps to KEGG C00121 / ModelSEED (rib_D).,
D-Salicin,True,simple_metabolite,manual_review,"Salicin (β-D-glucoside of salicyl alcohol) is a defined single compound and mapable (e.g., KEGG C01597), but it is an uncommon carbon source requiring specific β-glucosidase and salicylate catabolism.",D-Glucose
D-Serine,True,simple_metabolite,use,"D-Serine is a defined amino acid that can be represented as a single metabolite, is metabolized by various bacteria, and maps to databases (e.g., KEGG C00740).",
D-Sorbitol,True,simple_metabolite,use,D-Sorbitol (D-glucitol) is a defined sugar alcohol commonly metabolized by bacteria and is present in databases like KEGG and ModelSEED.,
D-Tagatose,True,simple_metabolite,use,"Defined monosaccharide (ketohexose) that many bacteria can catabolize (e.g., via tagatose-6-phosphate pathway) and is mappable in KEGG/ModelSEED as a single metabolite.",
D-Trehalose dihydrate,True,simple_metabolite,use,Defined disaccharide; model as trehalose (water of crystallization ignored); commonly metabolized by bacteria and mappable in KEGG/ModelSEED.,
D-Xylose,True,simple_metabolite,use,"D-Xylose is a defined monosaccharide pentose that many bacteria metabolize and is represented in standard databases (e.g., KEGG, ModelSEED).",
Decanoic acid,True,simple_metabolite,use,Defined medium-chain fatty acid (capric acid) that can be represented as a single metabolite and is commonly metabolized via beta-oxidation; mappable in KEGG/ModelSEED.,
Deoxyribonucleic acid from herring sperm,False,polymer,use_monomer,Herring sperm DNA is a heterogeneous polymer not representable as a single metabolite and is not a typical carbon source.,Thymidine
Disodium Glutarate,True,simple_metabolite,use,"Defined disodium salt of glutaric acid; represent as glutarate anion, a metabolizable C5 dicarboxylate with entries in KEGG/ModelSEED.",
Dodecandioic acid,True,simple_metabolite,manual_review,"A defined C12 dicarboxylic acid that can be represented as a single metabolite and mapped to KEGG/ModelSEED; some bacteria can catabolize it via dicarboxylate β-oxidation, but transport/pathway presence is organism-specific.",Glucose
Ethanol,True,simple_metabolite,use,"Defined single compound that maps to databases (e.g., KEGG) and is commonly metabolized by bacteria via alcohol/acetaldehyde dehydrogenase to acetyl-CoA.",
Ferulic Acid,True,simple_metabolite,manual_review,Defined phenolic acid (ferulate) that can be represented as a single metabolite and mapped to KEGG/ChEBI; usable as a carbon source only for organisms with aromatic catabolism.,
Fibersol-2-AG-fiber,False,proprietary,use_monomer,"Fibersol-2-AG is a branded digestion-resistant maltodextrin (mixture of glucose polymers), not a single defined metabolite for GEMs.",D-Glucose
Fructooligosaccharides (FOS),False,complex_mixture,use_monomer,"FOS is a heterogeneous mixture of fructose-based oligosaccharides with variable chain lengths, not a single defined metabolite, so it cannot be mapped cleanly in GEMs.",D-Fructose
Fructooligosaccharides from chicory,False,complex_mixture,use_monomer,"This is an undefined mixture of fructan oligomers (FOS from chicory), not a single metabolite; model as its monomer units instead.",D-Fructose
Fumaric acid,True,simple_metabolite,use,"Defined compound (fumarate), common TCA intermediate and usable carbon source, mappable to KEGG (C00122)/ModelSEED (cpd00242).",
Gelatin,False,complex_mixture,exclude,Gelatin is an undefined mixture of collagen-derived peptides/proteins and cannot be represented or mapped as a single metabolite.,L-Alanine
Glucuronamide,False,simple_metabolite,manual_review,Glucuronamide is a defined sugar amide but is not a typical bacterial carbon source and may require specialized hydrolysis; database mapping in GEMs is uncertain.,D-Glucuronate
Gly-DL-Asp,,error,manual_review,GPT-4o evaluation failed,
Gly-Glu,True,simple_metabolite,use,"Gly-Glu (glycyl-L-glutamate) is a defined dipeptide that can be modeled as a single metabolite, is metabolizable by many bacteria via peptide transport and peptidases, and can be mapped to databases (e.g., KEGG/ChEBI).",L-Glutamate
Glycerol,True,simple_metabolite,use,"Glycerol is a defined single compound broadly metabolized by bacteria and readily mapped in databases (e.g., KEGG C00116).",
Glycine,True,simple_metabolite,use,"Defined amino acid that maps to databases (e.g., KEGG C00037) and is catabolized by many bacteria via the glycine cleavage/serine pathway.",
Glycolic Acid,True,simple_metabolite,use,"Glycolic acid (glycolate) is a single, well-defined metabolite commonly metabolized by bacteria and maps to databases (e.g., KEGG C00266).",
Heparin sodium salt from porcine intestinal mucosa,False,complex_mixture,exclude,"Heparin sodium from porcine mucosa is a heterogeneous, variably sulfated polysaccharide mixture, not a single defined metabolite and not a typical bacterial carbon source.",D-Glucose
Heptanoic acid,True,simple_metabolite,use,"Defined medium-chain fatty acid that can be modeled as a single metabolite, metabolized via beta-oxidation by many bacteria, and mapped in KEGG/ModelSEED.",
Hexanoic acid,True,simple_metabolite,use,"Hexanoic acid (caproic acid) is a defined medium-chain fatty acid that many bacteria can metabolize via β-oxidation and is mappable in databases (e.g., KEGG C01645).",
Hyaluronic acid sodium salt from Streptococcus equi,False,polymer,use_monomer,"Hyaluronic acid sodium salt is a variable-length polysaccharide, not a single defined metabolite; model its monomers (GlcNAc and glucuronic acid) instead.",N-Acetyl-D-glucosamine
Hydroxy-L-Proline,True,simple_metabolite,manual_review,"Defined amino acid derivative mappable to KEGG/ModelSEED and catabolized by some bacteria, but it is not a typical universal carbon source—verify organism-specific pathways.",D-Glucose
ISOThrive-prebiotic lot A,False,proprietary,manual_review,"Branded prebiotic blend likely containing mixed oligosaccharides, not a single defined compound and not directly mappable to a single database metabolite.",D-Glucose
ISOThrive-prebiotic lot B,False,proprietary,manual_review,"Brand-name prebiotic mixture (likely isomaltooligosaccharides; lot-specific), not a single defined metabolite and cannot be uniquely mapped to databases.",D-Glucose
ISOThrive-prebiotic lot C,False,proprietary,manual_review,"Commercial prebiotic mixture (lot-specific) of oligosaccharides, not a single defined metabolite, so it cannot be directly represented or mapped in a GEM.",D-Glucose
ISOThrive-prebiotic lot D,False,proprietary,manual_review,"ISOThrive-prebiotic (lot D) is a commercial, batch-specific prebiotic mixture rather than a single defined compound, so it cannot be represented by one metabolite or mapped directly to databases.",D-Glucose
Inosine,True,simple_metabolite,use,"Defined nucleoside that bacteria can catabolize via purine nucleoside phosphorylase to ribose-1-phosphate and hypoxanthine; maps to databases (e.g., KEGG C00294).",
Inulin from chicory,False,polymer,use_monomer,"Inulin from chicory is a heterogeneous fructan polymer with variable chain length, not a single defined metabolite; model using its monomer units.",D-Fructose
Isomaltose,True,simple_metabolite,use,"Defined disaccharide (α-1,6-linked glucose dimer) that many microbes can hydrolyze and is mappable in KEGG/ModelSEED as a single metabolite.",
Itaconic Acid,False,simple_metabolite,manual_review,"Itaconic acid is a defined single metabolite with KEGG/ChEBI entries, but it is not a typical bacterial carbon source and often acts as an inhibitor, so use only if the organism has a known itaconate catabolic pathway.",Succinate
L-(-)-sorbose,True,simple_metabolite,use,"Defined monosaccharide (ketohexose) that can be modeled as a single metabolite, is metabolized by some microbes, and maps to databases (e.g., KEGG/ChEBI).",
L-Alanine,True,simple_metabolite,use,"L-Alanine is a defined amino acid that maps to standard databases and is commonly metabolized (e.g., to pyruvate) as a carbon source by many bacteria.",
L-Arabinose,True,simple_metabolite,use,Defined monosaccharide (pentose) commonly metabolized by bacteria via the arabinose pathway and mappable in KEGG/ModelSEED.,
L-Arginine,True,simple_metabolite,use,"Defined amino acid that many bacteria can catabolize and is represented in databases (e.g., KEGG C00062).",
L-Asparagine,True,simple_metabolite,use,Single defined amino acid that many bacteria can catabolize for carbon and nitrogen; readily mapped in KEGG/ModelSEED/BiGG.,
L-Aspartic Acid,True,simple_metabolite,use,"A defined amino acid (L-aspartate) that is a single metabolite, commonly catabolized by bacteria, and mapable to databases (e.g., KEGG C00049, ModelSEED).",
L-Citrulline,True,simple_metabolite,use,"Single defined amino acid that bacteria can catabolize for carbon and is mappable to databases (e.g., KEGG C00327, ModelSEED).",
L-Cysteine hydrochloride monohydrate,True,simple_metabolite,use,"Defined salt/hydrate of L-cysteine; model as L-cysteine (e.g., KEGG C00097), which many bacteria can catabolize to pyruvate.",L-Cysteine
L-Fucose,True,simple_metabolite,use,"L-Fucose is a defined monosaccharide that many bacteria can catabolize and is represented as a single metabolite in biochemical databases (e.g., KEGG, ModelSEED).",
L-Glutamic acid monopotassium salt monohydrate,True,simple_metabolite,use,"Defined salt/hydrate of L-glutamate; in models use the L-glutamate metabolite (ignore K+ and H2O), which many bacteria metabolize and maps to KEGG C00025/ BiGG glt__L / ModelSEED.",L-Glutamate (L-Glutamic acid)
L-Glutamine,True,simple_metabolite,use,"A defined amino acid that can be modeled as a single metabolite and is metabolized by many bacteria as a carbon/nitrogen source; maps to databases (e.g., KEGG C00064, BiGG gln_L).",
L-Histidine,True,simple_metabolite,use,"L-Histidine is a defined amino acid, can be represented as a single metabolite, many bacteria catabolize it (hut pathway), and it maps to KEGG/ModelSEED.",
L-Isoleucine,True,simple_metabolite,use,"Defined amino acid that can be represented as a single metabolite, commonly catabolized by bacteria, and mappable in KEGG/ModelSEED.",
L-Leucine,True,simple_metabolite,use,"L-Leucine is a defined amino acid, representable as a single metabolite, metabolized by many bacteria, and maps to KEGG/ModelSEED (e.g., KEGG C00123).",
L-Lysine,True,simple_metabolite,use,"L-Lysine is a defined amino acid that many bacteria can catabolize and it maps to standard databases (e.g., KEGG C00047, ModelSEED).",
L-Malic acid disodium salt monohydrate,True,simple_metabolite,use,"Defined salt/hydrate that dissociates to L-malate, a common bacterial carbon source; map as L-malate (e.g., KEGG C00149, ModelSEED mal-L).",L-Malate
L-Methionine,True,simple_metabolite,use,"Defined amino acid that can be represented as a single metabolite and mapped (e.g., KEGG C00073), and many bacteria can catabolize it as a carbon/nitrogen source.",
L-Ornithine,True,simple_metabolite,use,L-Ornithine is a defined amino acid represented as a single metabolite and is metabolizable by many bacteria; it maps to databases like KEGG and ModelSEED.,
L-Phenylalanine,True,simple_metabolite,use,"Defined amino acid that is a single metabolite, catabolized by many bacteria, and maps to databases (e.g., KEGG, BiGG, ModelSEED).",
L-Proline,True,simple_metabolite,use,"L-Proline is a defined amino acid metabolite that many bacteria can use as a carbon source and is represented in databases (e.g., KEGG C00148, ModelSEED pro__L).",
L-Rhamnose monohydrate,True,simple_metabolite,use,"L-Rhamnose monohydrate is a defined sugar (hydrate form of L-rhamnose) that many bacteria catabolize and is readily mappable to databases (e.g., KEGG, ModelSEED).",
L-Serine,True,simple_metabolite,use,Defined amino acid that can serve as a carbon and nitrogen source; represented as a single metabolite and mapped in KEGG/ModelSEED.,
L-Sorbose,True,simple_metabolite,use,"Defined monosaccharide (ketohexose) that can be modeled as a single metabolite, is metabolizable by some bacteria, and is present in databases like KEGG/ModelSEED.",
L-Threonine,True,simple_metabolite,use,Defined amino acid metabolite (KEGG C00188/ModelSEED cpd00161) that many bacteria can catabolize as a carbon and nitrogen source.,
L-Tryptophan,True,simple_metabolite,use,"Defined amino acid represented by a single metabolite, commonly catabolized by many bacteria, and mappable to databases (KEGG C00078, BiGG trp__L, ModelSEED cpd00065).",
L-Valine,True,simple_metabolite,use,"L-Valine is a defined amino acid that is represented as a single metabolite and is catabolized by many bacteria; it maps to databases (e.g., KEGG C00183).",
L-tyrosine disodium salt,True,simple_metabolite,use,"Defined amino acid salt that can be represented as L-tyrosine, which many bacteria can catabolize and is mappable (e.g., KEGG C00082).",L-tyrosine
Lactitol,True,simple_metabolite,manual_review,"Defined disaccharide sugar alcohol that can be represented as a single metabolite and mapped to databases, but it is not a typical carbon source across bacteria.",Lactose
Lacto-N-neotetraose,True,simple_metabolite,use,"Defined HMO tetrasaccharide that can be represented as a single metabolite, utilized by specific gut bacteria, and mappable in databases (e.g., KEGG Glycan, ChEBI).",
Lacto-N-tetraose,True,simple_metabolite,use,"Defined HMO tetrasaccharide (e.g., KEGG Glycan/ChEBI) that can be represented as a single metabolite and is metabolized by certain bacteria.",
Lactulose,True,simple_metabolite,use,"Defined disaccharide (galactose–fructose) that many bacteria can catabolize and is present in biochemical databases, so it can be represented as a single metabolite.",
Laminaribiose,True,simple_metabolite,use,"Defined β-1,3-linked glucose disaccharide; representable as a single metabolite, metabolizable by bacteria with β-1,3-glucosidases, and mappable in biochemical databases (e.g., KEGG/ChEBI).",
Laminarin from Laminaria digitata,False,polymer,use_monomer,"Laminarin is a β-1,3/1,6-glucan polysaccharide with variable chain length and branching, not a single defined metabolite—model as its monomer (D-glucose).",D-Glucose
Lauric acid,True,simple_metabolite,use,"Lauric acid (dodecanoic acid, C12:0) is a defined fatty acid represented as laurate/lauryl-CoA, metabolizable via β-oxidation, and mappable in KEGG/ModelSEED.",
Levan - from Erwinia herbicola,False,polymer,use_monomer,"Levan is a fructan polymer with variable chain length, not a single defined metabolite; represent its carbon as D-fructose in GEMs.",D-Fructose
Levulinic Acid,True,simple_metabolite,use,"Levulinic acid (4-oxopentanoic acid) is a defined small molecule, representable as a single metabolite, known to be metabolized by some bacteria, and can be mapped in biochemical databases (e.g., KEGG as 4-oxopentanoate, ChEBI/PubChem).",
Malonic acid,False,simple_metabolite,manual_review,"Malonic acid (malonate) is a defined, mappable metabolite but is a niche carbon source requiring malonate decarboxylase and is not broadly utilized by common bacteria.",Glucose
Maltitol,True,simple_metabolite,use,Maltitol is a defined sugar alcohol (hydrogenated maltose) that can be represented as a single metabolite; many bacteria can hydrolyze it to glucose and sorbitol and it is mappable in databases like KEGG/ModelSEED.,
Maltodextrin,False,polymer,use_monomer,Maltodextrin is a variable-length mixture of glucose polymers and not a single defined metabolite so model as glucose or specific maltooligosaccharides,D-Glucose
Maltohexaose,True,simple_metabolite,use,"A defined maltooligosaccharide (six alpha-1,4-linked glucose units) that many bacteria metabolize via maltodextrin pathways and is present in KEGG/ChEBI (and often ModelSEED).",D-Glucose
Maltotetraose,True,simple_metabolite,use,"Maltotetraose is a defined α(1→4)-linked glucose tetramer that many bacteria can catabolize and it has entries in major biochemical databases (e.g., KEGG, ModelSEED).",
Mannan from Saccharomyces cerevisiae,False,polymer,use_monomer,"Yeast mannan is a heterogeneous mannose polysaccharide, not a single defined metabolite; model its monomer (D-mannose) instead.",D-Mannose
Melibiose,True,simple_metabolite,use,"Melibiose is a defined disaccharide (galactose–glucose), representable as a single metabolite, commonly utilized by bacteria (e.g., via mel operon/α-galactosidase), and maps to databases like KEGG and ModelSEED.",
Methyl-B-D-galactopyranoside,False,simple_metabolite,manual_review,"Defined methyl β-D-galactoside that is uncommon as a carbon source and requires specific transport/hydrolysis reactions often absent from standard GEMs, though it can be database-mapped.",D-Galactose
Myristic acid,True,simple_metabolite,use,"Myristic acid (tetradecanoic acid) is a defined single fatty acid that many bacteria can catabolize via β-oxidation and it maps to standard databases (e.g., KEGG, ModelSEED).",
N-Acetyl-D-Glucosamine,True,simple_metabolite,use,Defined monosaccharide (GlcNAc) that many bacteria catabolize; represented as a single metabolite and mapped in KEGG/ModelSEED/BiGG.,
Nonanoic acid,True,simple_metabolite,use,Pelargonic acid (nonanoate) is a defined medium-chain fatty acid that can be represented as a single metabolite and metabolized via beta-oxidation; it maps to databases like KEGG/ModelSEED.,
Octanoic acid,True,simple_metabolite,use,"Octanoic acid (caprylic acid) is a single defined fatty acid that many bacteria can catabolize via beta-oxidation and is mappable in databases (e.g., KEGG, ModelSEED).",
Oleic acid,True,simple_metabolite,use,Oleic acid is a defined C18:1 fatty acid that can be represented as a single metabolite (oleate) and is commonly metabolized by bacteria via β-oxidation; it maps to KEGG/ModelSEED.,
Parabanic Acid,False,simple_metabolite,exclude,"Defined single compound, but an uncommon ureide not generally used or supported as a bacterial carbon source in GEMs.",Allantoin
Pectin,False,polymer,use_monomer,Pectin is a heterogeneous polysaccharide (mainly polygalacturonic acid) and cannot be captured as a single metabolite; model using monomers.,D-Galacturonate
Phenylacetic acid,True,simple_metabolite,use,"Defined small molecule that can be represented as a single metabolite (phenylacetate), is catabolized by many bacteria via the phenylacetate/paa pathway, and is mapped in KEGG/ModelSEED.",
Pimelic acid,,error,manual_review,GPT-4o evaluation failed,
Potassium acetate,True,simple_metabolite,use,"Defined salt that dissociates to acetate, a common bacterial carbon source that maps to standard databases (e.g., acetate KEGG C00033, ModelSEED cpd00029).",Acetate
Potassium oxalate monohydrate,True,simple_metabolite,use,"Defined salt hydrate; model as the oxalate anion (C2O4[2−]) plus K+, and oxalate is a valid (though niche) mappable carbon source.",Oxalate (oxalate2-)
