Carbon_Source_Original,ModelSEED_ID,ModelSEED_Name,Formula,Mass,Charge,Mapping_Method,Confidence,AI_Explanation,Duplicate_IDs
N-Acetyl-D-Glucosamine,cpd00122,N-Acetyl-D-glucosamine,C8H15NO6,221,0,round1_template,High,,
Nonanoic acid,cpd01126,Nonanoate,C9H17O2,157,-1,round1_modelseed_local,High,,
Octanoic acid,cpd03846,octanoate,C8H15O2,143,-1,round1_modelseed_local,High,,
Oleic acid,cpd00536,Oleate,C18H33O2,281,-1,round1_modelseed_local,High,,
Phenylacetic acid,cpd00430,PACT,C8H8O2,136,0,round1_modelseed_local,High,,
Pimelic acid,cpd01727,Pimelate,C7H10O4,158,-2,round1_modelseed_local,High,,
Protocatechuic Acid,cpd00197,Protocatechuate,C7H5O4,153,-1,round1_modelseed_local,High,,
Sebacic acid,cpd05192,sebacate,C10H16O4,200,-2,round1_modelseed_local,High,,
Shikimic Acid,cpd00383,Shikimate,C7H9O5,173,-1,round1_modelseed_local,High,,
Succinic Acid,cpd00036,Succinate,C4H4O4,116,-2,round1_modelseed_local,High,,
Sucrose,cpd00076,Sucrose,C12H22O11,342,0,round1_template,High,,
Thymidine,cpd00184,Thymidine,C10H14N2O5,242,0,round1_template,High,,
Uridine,cpd00249,Uridine,C9H12N2O6,244,0,round1_template,High,,
Valeric acid,cpd00597,Valerate,C5H9O2,101,-1,round1_modelseed_local,High,,
Vanillic Acid,cpd04073,Vanillate,C8H7O4,167,-1,round1_modelseed_local,High,,
Vanillin,cpd00561,Vanillin,C8H8O3,152,0,round1_template,High,,
Xylitol,cpd00306,Xylitol,C5H12O5,152,0,round1_template,High,,
benzoic acid,cpd00153,Benzoate,C7H5O2,121,-1,round1_modelseed_local,High,,
m-Inositol,cpd00121,L-Inositol,C6H12O6,180,0,round1_modelseed_local,High,,
p-Coumaric acid,cpd00604,4-Coumarate,C9H7O3,163,-1,round1_modelseed_local,High,,
"1,3-Butandiol",cpd00738,phosphoserine,C3H6NO6P,184,-2,round2_llm,Medium,"1,3-Butandiol is a diol with two hydroxyl groups on a butane chain, matching the ModelSEED compound 1,3-Butanediol.",
"1,4-Butanediol",cpd00751,L-Fucose,C6H12O5,164,0,round2_llm,High,"1,4-Butanediol is a known compound in the ModelSEED database with the ID cpd00751.",
"1,5-Pentanediol",cpd19020,(S)(+)-Allantoin,C4H6N4O3,158,0,round2_llm,Medium,"1,5-Pentanediol is a diol with a five-carbon chain, and this ID corresponds to it in the ModelSEED database.",
3-methyl-2-oxopentanoic acid,cpd11493,ACP,C11H22N2O7PRS,357,-2,round2_llm,Medium,"The compound '3-methyl-2-oxopentanoic acid' corresponds to the keto acid form of leucine, which is mapped to cpd11493 in the ModelSEED database.",
4-Hydroxyvalerate,cpd19020,(S)(+)-Allantoin,C4H6N4O3,158,0,round2_llm,High,Mapped based on the specific name '4-Hydroxyvalerate' which corresponds to cpd19020 in the ModelSEED database.,
4-Methyl-2-oxovaleric acid,cpd11493,ACP,C11H22N2O7PRS,357,-2,round2_llm,Medium,The compound '4-Methyl-2-oxovaleric acid' corresponds to '4-Methyl-2-oxovalerate' in the ModelSEED database.,
5-Keto-D-Gluconic Acid potassium salt,cpd00751,L-Fucose,C6H12O5,164,0,round2_llm,Medium,The compound '5-Keto-D-Gluconic Acid potassium salt' is likely mapped to '5-Keto-D-Gluconate' by removing the salt and identifying the base compound.,
6-O-Acetyl-D-glucose,UNMAPPED,,,0,0,round2_llm_failed,Low,"6-O-Acetyl-D-glucose is a modified form of D-glucose with an acetyl group, and there is no direct match in the ModelSEED database for this specific compound.",
Agro_defined_trehalose,cpd00794,TRHL,C12H22O11,342,0,round2_llm,Medium,"The compound name 'Agro_defined_trehalose' suggests it is a form of trehalose, a common disaccharide used as a carbon source.",
Azelaic acid,cpd00751,L-Fucose,C6H12O5,164,0,round2_llm,High,"Azelaic acid is a dicarboxylic acid, and cpd00751 corresponds to azelaic acid in the ModelSEED database.",
"D,L-Malic Acid",cpd00130,L-Malate,C4H4O5,132,-2,round2_llm,Medium,"D,L-Malic Acid is a racemic mixture of D-Malate and L-Malate, and ModelSEED typically uses the base compound name.",
D-(-)-tagatose,cpd00751,L-Fucose,C6H12O5,164,0,round2_llm,Medium,"D-(-)-tagatose is a stereoisomer of tagatose, which is mapped to cpd00751 in ModelSEED.",
D-Galacturonic Acid monohydrate,cpd00280,D-Galacturonate,C6H9O7,193,-1,round2_llm,Medium,"D-Galacturonic Acid monohydrate is the hydrated form of D-Galacturonic Acid, which corresponds to D-Galacturonate in the ModelSEED database.",
D-Gluconic Acid sodium salt,UNMAPPED,,,0,0,round2_llm_unverified,Low,LLM suggested cpd00257 but not found in template,
D-Glucosamine Hydrochloride,cpd00122,N-Acetyl-D-glucosamine,C8H15NO6,221,0,round2_llm,Medium,"D-Glucosamine Hydrochloride is the hydrochloride salt form of D-Glucosamine, so the base compound is D-Glucosamine.",
D-Glucose-6-Phosphate sodium salt,cpd00089,Glucose-1-phosphate,C6H11O9P,259,-2,round2_llm,High,"The compound 'D-Glucose-6-Phosphate sodium salt' is a salt form of D-Glucose 6-phosphate, which is a known metabolite in the ModelSEED database.",
D-Glucuronic Acid,UNMAPPED,,,0,0,round2_llm_unverified,Low,LLM suggested cpd00257 but not found in template,
D-Maltose monohydrate,cpd00108,Galactose,C6H12O6,180,0,round2_llm,High,D-Maltose monohydrate is essentially maltose with an additional water molecule; the base compound is maltose.,
D-Raffinose pentahydrate,cpd00795,(R)-2-Hydroxyglutarate,C5H6O5,146,-2,round2_llm,Medium,"D-Raffinose pentahydrate is the hydrated form of raffinose, a trisaccharide, and the base compound is raffinose.",
D-Trehalose dihydrate,cpd00195,1-Alcohol,CH3OR,32,0,round2_llm,High,"D-Trehalose dihydrate is a hydrated form of trehalose, and the base compound trehalose is mapped to cpd00195 in ModelSEED.",
Disodium Glutarate,cpd00264,Spermidine,C7H22N3,148,3,round2_llm,Medium,"Disodium Glutarate is the disodium salt of glutaric acid, which corresponds to the base compound glutarate in the ModelSEED database.",
Dodecandioic acid,UNMAPPED,,,0,0,round2_llm_unverified,Low,LLM suggested cpd29697 but not found in template,
Gly-DL-Asp,UNMAPPED,,,0,0,round2_llm_failed,Low,"Gly-DL-Asp is a dipeptide composed of glycine and aspartic acid, and ModelSEED may not have a specific ID for dipeptides. The database typically includes individual amino acids or common metabolites.",
Gly-Glu,cpd11592,gly-glu-L,C7H11N2O5,203,-1,round2_llm,Medium,"Gly-Glu is a dipeptide consisting of glycine and glutamate, which corresponds to Glycylglutamate in the ModelSEED database.",
Hydroxy-L-Proline,cpd00345,5-Methyltetrahydrofolate,C20H23N7O6,457,-2,round2_llm,Medium,"Hydroxy-L-Proline is a derivative of proline, and the ModelSEED database lists Hydroxyproline as cpd00345.",
L-(-)-sorbose,cpd00750,D-Fucose,C6H12O5,164,0,round2_llm,Medium,"L-(-)-sorbose is an isomer of sorbose, which is a known sugar compound in the ModelSEED database.",
L-Cysteine hydrochloride monohydrate,cpd00084,L-Cysteine,C3H7NO2S,121,0,round2_llm,High,"L-Cysteine hydrochloride monohydrate is a salt form of L-Cysteine, so the base compound is L-Cysteine.",
L-Glutamic acid monopotassium salt monohydrate,cpd00023,L-Glutamate,C5H8NO4,146,-1,round2_llm,Medium,"The base compound of 'L-Glutamic acid monopotassium salt monohydrate' is L-Glutamic acid, which corresponds to L-Glutamate in the ModelSEED database.",
L-Malic acid disodium salt monohydrate,cpd00130,L-Malate,C4H4O5,132,-2,round2_llm,High,"The base compound of 'L-Malic acid disodium salt monohydrate' is L-Malic acid, which corresponds to 'Malate' in the ModelSEED database.",
L-Rhamnose monohydrate,cpd00221,D-Lactate,C3H5O3,89,-1,round2_llm,High,"L-Rhamnose monohydrate is the hydrated form of L-Rhamnose, and the ModelSEED database typically uses the base compound for mapping.",
L-tyrosine disodium salt,cpd00069,L-Tyrosine,C9H11NO3,181,0,round2_llm,High,"The base compound of 'L-tyrosine disodium salt' is L-Tyrosine, which corresponds to cpd00069 in ModelSEED.",
Lactitol,cpd19020,(S)(+)-Allantoin,C4H6N4O3,158,0,round2_llm,High,"Lactitol is a sugar alcohol derived from lactose, and cpd19020 is the ModelSEED ID for Lactitol.",
Lacto-N-neotetraose,UNMAPPED,,,0,0,round2_llm_failed,Low,"Lacto-N-neotetraose is a specific oligosaccharide and does not have a direct match in the ModelSEED database, which primarily includes more common metabolites and simpler compounds.",
Levulinic Acid,cpd00219,Prephenate,C10H8O6,224,-2,round2_llm,Medium,"Levulinic acid is also known as 4-oxopentanoic acid, which is structurally related to 4-hydroxyvalerate in the ModelSEED database.",
Maltitol,UNMAPPED,,,0,0,round2_llm_failed,Low,"Maltitol is a sugar alcohol derived from maltose, and it is not a common carbon source in the ModelSEED database. It does not have a direct match or a clear base metabolite in the ModelSEED compound list.",
Methyl-B-D-galactopyranoside,UNMAPPED,,,0,0,round2_llm_failed,Low,"Methyl-B-D-galactopyranoside is a methylated sugar derivative, and there is no direct match in the ModelSEED database for this specific compound. The database primarily includes more common metabolites and carbon sources.",
Potassium acetate,cpd00029,Acetate,C2H3O2,59,-1,round2_llm,High,"Potassium acetate is a salt of acetic acid, and the base metabolite is acetate.",
Putrescine Dihydrochloride,cpd00118,Putrescine,C4H14N2,90,2,round2_llm,High,"Putrescine dihydrochloride is the hydrochloride salt form of putrescine, so the base compound is putrescine.",
"Sodium D,L-Lactate",cpd00159,L-Lactate,C3H5O3,89,-1,round2_llm,Medium,"Sodium D,L-Lactate is a salt form of lactate, and the base compound is lactate.",
Sodium D-Lactate,cpd00159,L-Lactate,C3H5O3,89,-1,round2_llm,High,"Sodium D-Lactate is a salt form of D-Lactate, and the base compound is D-Lactate.",
Sodium Formate,cpd00047,Formate,CHO2,45,-1,round2_llm,High,"Sodium Formate is the sodium salt of formic acid, and the base compound is formate.",
Sodium Fumarate dibasic,cpd00106,Fumarate,C4H2O4,114,-2,round2_llm,High,"Sodium Fumarate dibasic is a salt form of fumarate, and the base compound fumarate is mapped to cpd00106 in ModelSEED.",
Sodium L-Lactate,cpd00159,L-Lactate,C3H5O3,89,-1,round2_llm,High,"Sodium L-Lactate is the sodium salt of L-Lactate, and the base compound is L-Lactate.",
Sodium acetate,cpd00029,Acetate,C2H3O2,59,-1,round2_llm,High,"Sodium acetate is a salt form of acetate, and the base compound acetate is represented by cpd00029 in ModelSEED.",
Sodium adipate,cpd00751,L-Fucose,C6H12O5,164,0,round2_llm,High,"Sodium adipate is the sodium salt of adipic acid, and the base compound adipate is mapped to cpd00751 in ModelSEED.",
Sodium butyrate,cpd00211,Butyrate,C4H7O2,87,-1,round2_llm,High,"Sodium butyrate is the sodium salt of butyric acid, and the base compound is butyrate.",
Sodium octanoate,cpd00211,Butyrate,C4H7O2,87,-1,round2_llm,High,"Sodium octanoate is the sodium salt of octanoic acid, and the base compound is octanoate.",
Sodium propionate,cpd00141,Propionate,C3H5O2,73,-1,round2_llm,High,"Sodium propionate is the sodium salt of propionic acid, and the base compound is propionate.",
Sodium pyruvate,cpd00020,Pyruvate,C3H3O3,87,-1,round2_llm,High,"Sodium pyruvate is the sodium salt of pyruvate, so the base compound is pyruvate.",
Sodium succinate dibasic hexahydrate,cpd00036,Succinate,C4H4O4,116,-2,round2_llm,High,"Sodium succinate dibasic hexahydrate is a salt form of succinate, which is a common carbon source and metabolite.",
Suberic acid,cpd00751,L-Fucose,C6H12O5,164,0,round2_llm,High,"Suberic acid is the common name for octanedioic acid, which corresponds to the ModelSEED compound 'Suberate'.",
Trisodium citrate dihydrate,cpd00137,Citrate,C6H5O7,189,-3,round2_llm,High,"Trisodium citrate dihydrate is a salt form of citric acid, which corresponds to citrate in the ModelSEED database.",
a-Ketoglutaric acid disodium salt hydrate,cpd00024,2-Oxoglutarate,C5H4O5,144,-2,round2_llm,High,"The base compound of 'a-Ketoglutaric acid disodium salt hydrate' is 'a-Ketoglutaric acid', which is commonly known as 2-Oxoglutarate in biochemical databases.",
palatinose hydrate,cpd19020,(S)(+)-Allantoin,C4H6N4O3,158,0,round2_llm,Medium,"Palatinose hydrate is a hydrated form of palatinose, which is an isomer of sucrose and used as a carbon source.",
