Carbon_Source_Original,ModelSEED_ID,ModelSEED_Name,Formula,Mass,Charge,Mapping_Method,Confidence,AI_Explanation,Duplicate_IDs
N-Acetyl-D-Glucosamine,cpd00122,N-Acetyl-D-glucosamine,C8H15NO6,221,0,round1_template,High,,
Nonanoic acid,cpd01126,Nonanoate,C9H17O2,157,-1,round1_modelseed_local,High,,
Octanoic acid,cpd03846,octanoate,C8H15O2,143,-1,round1_modelseed_local,High,,
Oleic acid,cpd00536,Oleate,C18H33O2,281,-1,round1_modelseed_local,High,,
Phenylacetic acid,cpd00430,PACT,C8H8O2,136,0,round1_modelseed_local,High,,
Pimelic acid,cpd01727,Pimelate,C7H10O4,158,-2,round1_modelseed_local,High,,
Protocatechuic Acid,cpd00197,Protocatechuate,C7H5O4,153,-1,round1_modelseed_local,High,,
Sebacic acid,cpd05192,sebacate,C10H16O4,200,-2,round1_modelseed_local,High,,
Shikimic Acid,cpd00383,Shikimate,C7H9O5,173,-1,round1_modelseed_local,High,,
Succinic Acid,cpd00036,Succinate,C4H4O4,116,-2,round1_modelseed_local,High,,
Thymidine,cpd00184,Thymidine,C10H14N2O5,242,0,round1_template,High,,
Uridine,cpd00249,Uridine,C9H12N2O6,244,0,round1_template,High,,
Valeric acid,cpd00597,Valerate,C5H9O2,101,-1,round1_modelseed_local,High,,
Vanillic Acid,cpd04073,Vanillate,C8H7O4,167,-1,round1_modelseed_local,High,,
Vanillin,cpd00561,Vanillin,C8H8O3,152,0,round1_template,High,,
Xylitol,cpd00306,Xylitol,C5H12O5,152,0,round1_template,High,,
benzoic acid,cpd00153,Benzoate,C7H5O2,121,-1,round1_modelseed_local,High,,
m-Inositol,cpd00121,L-Inositol,C6H12O6,180,0,round1_modelseed_local,High,,
p-Coumaric acid,cpd00604,4-Coumarate,C9H7O3,163,-1,round1_modelseed_local,High,,
