organism,carbon_source,experimental,predicted,biomass_flux,missing_compounds,num_missing
Burkholderia phytofirmans PsJN,L-Alanine,1,0,0.0,"cpd10515,cpd00035",2
Burkholderia phytofirmans PsJN,L-Arabinose,1,0,0.0,cpd10515,1
Burkholderia phytofirmans PsJN,L-Asparagine,1,0,0.0,"cpd10515,cpd00132",2
Burkholderia phytofirmans PsJN,L-Fucose,1,0,0.0,"cpd10515,cpd00751",2
Burkholderia phytofirmans PsJN,L-Malic acid disodium salt monohydrate,1,0,0.0,"cpd10515,cpd00130",2
Burkholderia phytofirmans PsJN,L-Phenylalanine,1,0,0.0,cpd10515,1
Burkholderia phytofirmans PsJN,L-Tryptophan,1,0,0.0,cpd10515,1
Burkholderia phytofirmans PsJN,N-Acetyl-D-Glucosamine,1,0,0.0,"cpd10515,cpd00122",2
Burkholderia phytofirmans PsJN,Phenylacetic acid,1,0,0.0,"cpd10515,cpd00430",2
Burkholderia phytofirmans PsJN,Protocatechuic Acid,1,0,0.0,"cpd10515,cpd00197",2
Burkholderia phytofirmans PsJN,Putrescine Dihydrochloride,1,0,0.0,cpd10515,1
Burkholderia phytofirmans PsJN,Sebacic acid,1,0,0.0,"cpd10515,cpd05192",2
Burkholderia phytofirmans PsJN,Sodium adipate,1,0,0.0,"cpd10515,cpd03642",2
Burkholderia phytofirmans PsJN,Sodium butyrate,1,0,0.0,"cpd10515,cpd00211",2
Burkholderia phytofirmans PsJN,Xylitol,1,0,0.0,"cpd10515,cpd00306",2
Burkholderia phytofirmans PsJN,m-Inositol,1,0,0.0,"cpd10515,cpd00121",2
Bifidobacterium breve UCC2003,Beta-Lactose,1,0,0.0,"cpd10515,cpd11574,cpd01354",3
Bifidobacterium breve UCC2003,D-Fructose,1,0,0.0,"cpd10515,cpd11574,cpd00082",3
Bifidobacterium breve UCC2003,D-Glucose,1,0,0.0,"cpd10515,cpd11574,cpd00027",3
Bifidobacterium breve UCC2003,D-Trehalose dihydrate,1,0,0.0,"cpd10515,cpd11574,cpd00166",3
Bifidobacterium breve UCC2003,L-Fucose,1,0,0.0,"cpd10515,cpd11574",2
Bifidobacterium breve UCC2003,Lacto-N-tetraose,1,0,0.0,"cpd10515,cpd11574,cpd03807",3
Bifidobacterium breve UCC2003,Melibiose,1,0,0.0,"cpd10515,cpd11574,cpd03198",3
Bacteroides thetaiotaomicron VPI-5482,Agro_defined_trehalose,1,0,0.0,"cpd11574,cpd00244,cpd00794",3
Bacteroides thetaiotaomicron VPI-5482,Beta-Lactose,1,0,0.0,"cpd11574,cpd00244,cpd01354",3
Bacteroides thetaiotaomicron VPI-5482,D-Arabinose,1,0,0.0,"cpd11574,cpd00244,cpd00185",3
Bacteroides thetaiotaomicron VPI-5482,D-Fructose,1,0,0.0,"cpd11574,cpd00244,cpd00082",3
Bacteroides thetaiotaomicron VPI-5482,D-Galactose,1,0,0.0,"cpd11574,cpd00244,cpd00108",3
Bacteroides thetaiotaomicron VPI-5482,D-Glucosamine Hydrochloride,1,0,0.0,"cpd11574,cpd00244,cpd00276",3
Bacteroides thetaiotaomicron VPI-5482,D-Glucose,1,0,0.0,"cpd11574,cpd00244,cpd00027",3
Bacteroides thetaiotaomicron VPI-5482,D-Mannose,1,0,0.0,"cpd11574,cpd00244,cpd00138",3
Bacteroides thetaiotaomicron VPI-5482,D-Raffinose pentahydrate,1,0,0.0,"cpd11574,cpd00244,cpd00382",3
Bacteroides thetaiotaomicron VPI-5482,D-Ribose,1,0,0.0,"cpd11574,cpd00244,cpd00105",3
Bacteroides thetaiotaomicron VPI-5482,D-Trehalose dihydrate,1,0,0.0,"cpd11574,cpd00244",2
Bacteroides thetaiotaomicron VPI-5482,Isomaltose,1,0,0.0,"cpd11574,cpd00244,cpd00217",3
Bacteroides thetaiotaomicron VPI-5482,L-Arabinose,1,0,0.0,"cpd11574,cpd00244,cpd00224",3
Bacteroides thetaiotaomicron VPI-5482,L-Fucose,1,0,0.0,"cpd11574,cpd00244",2
Bacteroides thetaiotaomicron VPI-5482,Lactulose,1,0,0.0,"cpd11574,cpd00244,cpd04349",3
Bacteroides thetaiotaomicron VPI-5482,Melibiose,1,0,0.0,"cpd11574,cpd00244,cpd03198",3
Bacteroides thetaiotaomicron VPI-5482,N-Acetyl-D-Glucosamine,1,0,0.0,"cpd11574,cpd00244,cpd00122",3
Bacteroides thetaiotaomicron VPI-5482,palatinose hydrate,1,0,0.0,"cpd11574,cpd00244,cpd01200",3
Paraburkholderia bryophila 376MFSha3.1,2-Deoxy-D-Ribose,1,0,0.0,"cpd10515,cpd01242",2
Paraburkholderia bryophila 376MFSha3.1,Hexanoic acid,1,0,0.0,"cpd10515,cpd01113",2
Paraburkholderia bryophila 376MFSha3.1,Phenylacetic acid,1,0,0.0,"cpd10515,cpd00430",2
Paraburkholderia bryophila 376MFSha3.1,Pimelic acid,1,0,0.0,"cpd10515,cpd01727",2
Paraburkholderia bryophila 376MFSha3.1,Protocatechuic Acid,1,0,0.0,"cpd10515,cpd00197",2
Paraburkholderia bryophila 376MFSha3.1,Sebacic acid,1,0,0.0,"cpd10515,cpd05192",2
Paraburkholderia bryophila 376MFSha3.1,Sodium adipate,1,0,0.0,"cpd10515,cpd03642",2
Paraburkholderia bryophila 376MFSha3.1,Sodium butyrate,1,0,0.0,"cpd10515,cpd00211",2
Paraburkholderia bryophila 376MFSha3.1,Sodium propionate,1,0,0.0,"cpd10515,cpd00141",2
Paraburkholderia bryophila 376MFSha3.1,Valeric acid,1,0,0.0,"cpd10515,cpd00597",2
Paraburkholderia graminis OAS925,2-Deoxy-D-Ribose,1,0,0.0,"cpd10515,cpd01242",2
Paraburkholderia graminis OAS925,4-Hydroxybenzoic Acid,1,0,0.0,cpd10515,1
Paraburkholderia graminis OAS925,Adenosine,1,0,0.0,"cpd10515,cpd00182",2
Paraburkholderia graminis OAS925,Beta-Lactose,1,0,0.0,"cpd10515,cpd01354",2
Paraburkholderia graminis OAS925,D-Alanine,1,0,0.0,"cpd10515,cpd00117",2
Paraburkholderia graminis OAS925,D-Arabinose,1,0,0.0,"cpd10515,cpd00185",2
Paraburkholderia graminis OAS925,D-Galactose,1,0,0.0,"cpd10515,cpd00108",2
Paraburkholderia graminis OAS925,D-Galacturonic Acid monohydrate,1,0,0.0,cpd10515,1
Paraburkholderia graminis OAS925,D-Glucosamine Hydrochloride,1,0,0.0,"cpd10515,cpd00276",2
Paraburkholderia graminis OAS925,D-Glucose,1,0,0.0,"cpd10515,cpd00027",2
Paraburkholderia graminis OAS925,D-Glucose-6-Phosphate sodium salt,1,0,0.0,"cpd10515,cpd00083",2
Paraburkholderia graminis OAS925,D-Mannose,1,0,0.0,"cpd10515,cpd00138",2
Paraburkholderia graminis OAS925,D-Raffinose pentahydrate,1,0,0.0,"cpd10515,cpd00382",2
Paraburkholderia graminis OAS925,D-Serine,1,0,0.0,"cpd10515,cpd00550",2
Paraburkholderia graminis OAS925,D-Sorbitol,1,0,0.0,"cpd10515,cpd00588",2
Paraburkholderia graminis OAS925,D-Trehalose dihydrate,1,0,0.0,cpd10515,1
Paraburkholderia graminis OAS925,Inosine,1,0,0.0,"cpd10515,cpd00246",2
Paraburkholderia graminis OAS925,L-Alanine,1,0,0.0,"cpd10515,cpd00035",2
Paraburkholderia graminis OAS925,L-Arabinose,1,0,0.0,cpd10515,1
Paraburkholderia graminis OAS925,L-Arginine,1,0,0.0,"cpd10515,cpd00051",2
Paraburkholderia graminis OAS925,L-Asparagine,1,0,0.0,"cpd10515,cpd00132",2
Paraburkholderia graminis OAS925,L-Fucose,1,0,0.0,"cpd10515,cpd00751",2
Paraburkholderia graminis OAS925,L-Phenylalanine,1,0,0.0,cpd10515,1
Paraburkholderia graminis OAS925,L-Serine,1,0,0.0,"cpd10515,cpd00054",2
Paraburkholderia graminis OAS925,L-Threonine,1,0,0.0,"cpd10515,cpd00161",2
Paraburkholderia graminis OAS925,L-Tryptophan,1,0,0.0,cpd10515,1
Paraburkholderia graminis OAS925,Sodium butyrate,1,0,0.0,cpd10515,1
Paraburkholderia graminis OAS925,Sodium propionate,1,0,0.0,"cpd10515,cpd00141",2
Paraburkholderia graminis OAS925,Uridine,1,0,0.0,"cpd10515,cpd00249",2
Paraburkholderia graminis OAS925,Xylitol,1,0,0.0,"cpd10515,cpd00306",2
Paraburkholderia graminis OAS925,m-Inositol,1,0,0.0,"cpd10515,cpd00121",2
Phocaeicola vulgatus CL09T03C04,D-Glucosamine Hydrochloride,1,0,0.0,"cpd11574,cpd00244,cpd00276",3
Phocaeicola vulgatus CL09T03C04,D-Raffinose pentahydrate,1,0,0.0,"cpd11574,cpd00244,cpd00382",3
Phocaeicola vulgatus CL09T03C04,L-Fucose,1,0,0.0,"cpd11574,cpd00244",2
Ralstonia sp. UNC404CL21Col,D-Glucose,1,0,0.0,cpd00027,1
Ralstonia sp. UNC404CL21Col,Disodium Glutarate,1,0,0.0,,0
Ralstonia sp. UNC404CL21Col,Heptanoic acid,1,0,0.0,cpd15608,1
Ralstonia sp. UNC404CL21Col,Hexanoic acid,1,0,0.0,cpd01113,1
Ralstonia sp. UNC404CL21Col,Lauric acid,1,0,0.0,cpd01741,1
Ralstonia sp. UNC404CL21Col,Octanoic acid,1,0,0.0,cpd03846,1
Ralstonia sp. UNC404CL21Col,Pimelic acid,1,0,0.0,cpd01727,1
Ralstonia sp. UNC404CL21Col,Protocatechuic Acid,1,0,0.0,cpd00197,1
Ralstonia sp. UNC404CL21Col,Sebacic acid,1,0,0.0,cpd05192,1
Ralstonia sp. UNC404CL21Col,Sodium adipate,1,0,0.0,cpd03642,1
Ralstonia sp. UNC404CL21Col,Sodium butyrate,1,0,0.0,cpd00211,1
Ralstonia sp. UNC404CL21Col,Sodium propionate,1,0,0.0,cpd00141,1
Ralstonia sp. UNC404CL21Col,Valeric acid,1,0,0.0,cpd00597,1
Caulobacter crescentus NA1000,Beta-Lactose,1,0,0.0,"cpd00244,cpd01354",2
Caulobacter crescentus NA1000,D-Mannitol,1,0,0.0,"cpd00244,cpd00314",2
Caulobacter crescentus NA1000,D-Mannose,1,0,0.0,"cpd00244,cpd00138",2
Caulobacter crescentus NA1000,D-Raffinose pentahydrate,1,0,0.0,"cpd00244,cpd00382",2
Caulobacter crescentus NA1000,D-Salicin,1,0,0.0,"cpd00244,cpd01030",2
Caulobacter crescentus NA1000,D-Xylose,1,0,0.0,cpd00244,1
Caulobacter crescentus NA1000,L-Alanine,1,0,0.0,"cpd00244,cpd00035",2
Caulobacter crescentus NA1000,L-Glutamic acid monopotassium salt monohydrate,1,0,0.0,"cpd00244,cpd00023",2
Caulobacter crescentus NA1000,L-Glutamine,1,0,0.0,"cpd00244,cpd00053",2
Caulobacter crescentus NA1000,L-Proline,1,0,0.0,"cpd00244,cpd00129",2
Caulobacter crescentus NA1000,N-Acetyl-D-Glucosamine,1,0,0.0,"cpd00244,cpd00122",2
Caulobacter crescentus NA1000,m-Inositol,1,0,0.0,"cpd00244,cpd00121",2
"Echinicola vietnamensis KMM 6221, DSM 17526",Beta-Lactose,1,0,0.0,"cpd00244,cpd01354",2
"Echinicola vietnamensis KMM 6221, DSM 17526",D-Fructose,1,0,0.0,"cpd00244,cpd00082",2
"Echinicola vietnamensis KMM 6221, DSM 17526",D-Glucosamine Hydrochloride,1,0,0.0,"cpd00244,cpd00276",2
"Echinicola vietnamensis KMM 6221, DSM 17526",D-Mannose,1,0,0.0,"cpd00244,cpd00138",2
"Echinicola vietnamensis KMM 6221, DSM 17526",D-Raffinose pentahydrate,1,0,0.0,"cpd00244,cpd00382",2
"Echinicola vietnamensis KMM 6221, DSM 17526",D-Salicin,1,0,0.0,"cpd00244,cpd01030",2
"Echinicola vietnamensis KMM 6221, DSM 17526",D-Trehalose dihydrate,1,0,0.0,cpd00244,1
"Echinicola vietnamensis KMM 6221, DSM 17526",L-Arabinose,1,0,0.0,"cpd00244,cpd00224",2
"Echinicola vietnamensis KMM 6221, DSM 17526",Lactulose,1,0,0.0,"cpd00244,cpd04349",2
Dinoroseobacter shibae DFL-12,D-Glucose,1,0,0.0,"cpd10515,cpd00027",2
Dinoroseobacter shibae DFL-12,D-Mannitol,1,0,0.0,"cpd10515,cpd00314",2
Dinoroseobacter shibae DFL-12,D-Mannose,1,0,0.0,"cpd10515,cpd00138",2
Dinoroseobacter shibae DFL-12,D-Trehalose dihydrate,1,0,0.0,"cpd10515,cpd00166",2
Dinoroseobacter shibae DFL-12,L-Malic acid disodium salt monohydrate,1,0,0.0,"cpd10515,cpd00130",2
Dinoroseobacter shibae DFL-12,"Sodium D,L-Lactate",1,0,0.0,"cpd10515,cpd00159",2
Dinoroseobacter shibae DFL-12,Sodium L-Lactate,1,0,0.0,"cpd10515,cpd00159",2
Dinoroseobacter shibae DFL-12,Sodium propionate,1,0,0.0,"cpd10515,cpd00141",2
Dinoroseobacter shibae DFL-12,Trisodium citrate dihydrate,1,0,0.0,"cpd10515,cpd00137",2
Dinoroseobacter shibae DFL-12,Uridine,1,0,0.0,"cpd10515,cpd00249",2
Dinoroseobacter shibae DFL-12,Xylitol,1,0,0.0,"cpd10515,cpd00306",2
Dinoroseobacter shibae DFL-12,a-Ketoglutaric acid disodium salt hydrate,1,0,0.0,"cpd10515,cpd00024",2
Dinoroseobacter shibae DFL-12,m-Inositol,1,0,0.0,"cpd10515,cpd00121",2
Dyella japonica UNC79MFTsu3.2,D-Fructose,1,0,0.0,"cpd00244,cpd00082",2
Dyella japonica UNC79MFTsu3.2,D-Galactose,1,0,0.0,cpd00244,1
Dyella japonica UNC79MFTsu3.2,L-Alanine,1,0,0.0,"cpd00244,cpd00035",2
Dyella japonica UNC79MFTsu3.2,N-Acetyl-D-Glucosamine,1,0,0.0,"cpd00244,cpd00122",2
Herbaspirillum seropedicae SmR1,4-Hydroxybenzoic Acid,1,0,0.0,,0
Herbaspirillum seropedicae SmR1,D-Galactose,1,0,0.0,cpd00108,1
Herbaspirillum seropedicae SmR1,D-Galacturonic Acid monohydrate,1,0,0.0,,0
Herbaspirillum seropedicae SmR1,D-Glucose,1,0,0.0,cpd00027,1
Herbaspirillum seropedicae SmR1,D-Glucose-6-Phosphate sodium salt,1,0,0.0,cpd00083,1
Herbaspirillum seropedicae SmR1,D-Mannose,1,0,0.0,cpd00138,1
Herbaspirillum seropedicae SmR1,D-Sorbitol,1,0,-2.5108415925252707e-14,cpd00588,1
Herbaspirillum seropedicae SmR1,D-Xylose,1,0,-2.5108415925252707e-14,,0
Herbaspirillum seropedicae SmR1,Itaconic Acid,1,0,-4.891936796150601e-15,cpd00380,1
Herbaspirillum seropedicae SmR1,L-Arabinose,1,0,-4.891936796150601e-15,,0
Herbaspirillum seropedicae SmR1,L-Asparagine,1,0,-4.891936796150601e-15,cpd00132,1
Herbaspirillum seropedicae SmR1,L-Fucose,1,0,2.1978409902632465e-15,cpd00751,1
Herbaspirillum seropedicae SmR1,N-Acetyl-D-Glucosamine,1,0,0.0,cpd00122,1
Herbaspirillum seropedicae SmR1,Phenylacetic acid,1,0,0.0,cpd00430,1
Herbaspirillum seropedicae SmR1,"Sodium D,L-Lactate",1,0,0.0,cpd00159,1
Herbaspirillum seropedicae SmR1,Sodium L-Lactate,1,0,0.0,cpd00159,1
Herbaspirillum seropedicae SmR1,Sodium propionate,1,0,0.0,cpd00141,1
Herbaspirillum seropedicae SmR1,Xylitol,1,0,0.0,cpd00306,1
Herbaspirillum seropedicae SmR1,m-Inositol,1,0,0.0,cpd00121,1
Escherichia coli BW25113,D-Glucosamine Hydrochloride,1,0,0.0,cpd00276,1
Escherichia coli BW25113,D-Glucose-6-Phosphate sodium salt,1,0,0.0,cpd00083,1
Escherichia coli BW25113,D-Trehalose dihydrate,1,0,0.0,,0
Escherichia coli BW25113,L-Cysteine hydrochloride monohydrate,1,0,0.0,cpd00084,1
Escherichia coli BW25113,N-Acetyl-D-Glucosamine,1,0,0.0,cpd00122,1
Sphingomonas koreensis DSMZ 15582,D-Fructose,1,0,0.0,"cpd00244,cpd00082",2
Sphingomonas koreensis DSMZ 15582,D-Mannitol,1,0,0.0,"cpd00244,cpd00314",2
Sphingomonas koreensis DSMZ 15582,D-Raffinose pentahydrate,1,0,0.0,"cpd00244,cpd00382",2
Sphingomonas koreensis DSMZ 15582,D-Trehalose dihydrate,1,0,0.0,cpd00244,1
Sphingomonas koreensis DSMZ 15582,D-Xylose,1,0,0.0,cpd00244,1
Sphingomonas koreensis DSMZ 15582,L-Glutamic acid monopotassium salt monohydrate,1,0,0.0,cpd00244,1
Sphingomonas koreensis DSMZ 15582,L-Glutamine,1,0,0.0,"cpd00244,cpd00053",2
Sphingomonas koreensis DSMZ 15582,N-Acetyl-D-Glucosamine,1,0,0.0,"cpd00244,cpd00122",2
Klebsiella michiganensis M5al,D-Glucosamine Hydrochloride,1,0,0.0,cpd00276,1
Klebsiella michiganensis M5al,D-Glucose-6-Phosphate sodium salt,1,0,0.0,cpd00083,1
Klebsiella michiganensis M5al,D-Raffinose pentahydrate,1,0,0.0,cpd00382,1
Klebsiella michiganensis M5al,D-Salicin,1,0,0.0,,0
Klebsiella michiganensis M5al,D-Trehalose dihydrate,1,0,0.0,,0
Klebsiella michiganensis M5al,Gly-Glu,1,0,0.0,cpd11592,1
Klebsiella michiganensis M5al,m-Inositol,1,0,0.0,,0
Lysobacter sp. OAE881,2-Deoxy-D-Ribose,1,0,0.0,"cpd00244,cpd01242",2
Lysobacter sp. OAE881,D-Galactose,1,0,0.0,"cpd00244,cpd00108",2
Lysobacter sp. OAE881,D-Glucose-6-Phosphate sodium salt,1,0,0.0,"cpd00244,cpd00083",2
Lysobacter sp. OAE881,L-Asparagine,1,0,0.0,"cpd00244,cpd00132",2
Lysobacter sp. OAE881,L-Glutamine,1,0,0.0,"cpd00244,cpd00053",2
Lysobacter sp. OAE881,L-Malic acid disodium salt monohydrate,1,0,0.0,"cpd00244,cpd00130",2
Lysobacter sp. OAE881,L-Tryptophan,1,0,0.0,"cpd00244,cpd00065",2
Lysobacter sp. OAE881,L-tyrosine disodium salt,1,0,0.0,"cpd00244,cpd00069",2
Lysobacter sp. OAE881,Sodium propionate,1,0,-1.0897138112527265e-15,"cpd00244,cpd00141",2
Shewanella oneidensis MR-1,Adenosine,1,0,0.0,"cpd00244,cpd00182",2
Shewanella oneidensis MR-1,D-Glucosamine Hydrochloride,1,0,0.0,"cpd00244,cpd00276",2
Shewanella oneidensis MR-1,Gly-Glu,1,0,0.0,"cpd00244,cpd11592",2
Shewanella oneidensis MR-1,L-Glutamine,1,0,0.0,"cpd00244,cpd00053",2
Shewanella oneidensis MR-1,L-Isoleucine,1,0,0.0,"cpd00244,cpd00322",2
Shewanella oneidensis MR-1,L-Threonine,1,0,0.0,"cpd00244,cpd00161",2
Shewanella oneidensis MR-1,N-Acetyl-D-Glucosamine,1,0,0.0,"cpd00244,cpd00122",2
Shewanella oneidensis MR-1,"Sodium D,L-Lactate",1,0,0.0,cpd00244,1
Shewanella oneidensis MR-1,Sodium L-Lactate,1,0,0.0,cpd00244,1
Shewanella oneidensis MR-1,Sodium propionate,1,0,0.0,cpd00244,1
Marinobacter adhaerens HP15,D-Alanine,1,0,0.0,"cpd10515,cpd00117",2
Marinobacter adhaerens HP15,D-Trehalose dihydrate,1,0,0.0,cpd10515,1
Marinobacter adhaerens HP15,L-Malic acid disodium salt monohydrate,1,0,0.0,"cpd10515,cpd00130",2
Marinobacter adhaerens HP15,L-Phenylalanine,1,0,0.0,"cpd10515,cpd00066",2
Marinobacter adhaerens HP15,"Sodium D,L-Lactate",1,0,0.0,"cpd10515,cpd00159",2
Marinobacter adhaerens HP15,Sodium D-Lactate,1,0,0.0,cpd10515,1
Marinobacter adhaerens HP15,Sodium L-Lactate,1,0,0.0,"cpd10515,cpd00159",2
Marinobacter adhaerens HP15,Trisodium citrate dihydrate,1,0,0.0,"cpd10515,cpd00137",2
Marinobacter adhaerens HP15,a-Ketoglutaric acid disodium salt hydrate,1,0,0.0,"cpd10515,cpd00024",2
Desulfovibrio vulgaris Miyazaki F,L-Serine,1,0,0.0,cpd00054,1
Desulfovibrio vulgaris Miyazaki F,Sodium D-Lactate,1,0,0.0,,0
Dechlorosoma suillum PS,L-Malic acid disodium salt monohydrate,1,0,0.0,cpd00130,1
Dechlorosoma suillum PS,"Sodium D,L-Lactate",1,0,0.0,cpd00159,1
Dechlorosoma suillum PS,Sodium L-Lactate,1,0,0.0,cpd00159,1
Dechlorosoma suillum PS,Sodium butyrate,1,0,0.0,cpd00211,1
Dechlorosoma suillum PS,Sodium propionate,1,0,0.0,cpd00141,1
Dechlorosoma suillum PS,a-Ketoglutaric acid disodium salt hydrate,1,0,0.0,cpd00024,1
Shewanella loihica PV-4,Adenosine,1,0,0.0,"cpd00244,cpd00182",2
Shewanella loihica PV-4,D-Galactose,1,0,0.0,"cpd00244,cpd00108",2
Shewanella loihica PV-4,D-Glucosamine Hydrochloride,1,0,0.0,"cpd00244,cpd00276",2
Shewanella loihica PV-4,Gly-Glu,1,0,0.0,"cpd00244,cpd11592",2
Shewanella loihica PV-4,L-Malic acid disodium salt monohydrate,1,0,0.0,"cpd00244,cpd00130",2
Shewanella loihica PV-4,N-Acetyl-D-Glucosamine,1,0,0.0,"cpd00244,cpd00122",2
Shewanella loihica PV-4,"Sodium D,L-Lactate",1,0,0.0,cpd00244,1
Shewanella loihica PV-4,Sodium L-Lactate,1,0,0.0,cpd00244,1
Shewanella loihica PV-4,a-Ketoglutaric acid disodium salt hydrate,1,0,0.0,"cpd00244,cpd00024",2
Pedobacter sp. GW460-11-11-14-LB5,Agro_defined_trehalose,1,0,0.0,"cpd11574,cpd00244,cpd00794",3
Pedobacter sp. GW460-11-11-14-LB5,Beta-Lactose,1,0,0.0,"cpd11574,cpd00244,cpd01354",3
Pedobacter sp. GW460-11-11-14-LB5,D-Glucosamine Hydrochloride,1,0,0.0,"cpd11574,cpd00244,cpd00276",3
Pedobacter sp. GW460-11-11-14-LB5,D-Mannitol,1,0,0.0,"cpd11574,cpd00244,cpd00314",3
Pedobacter sp. GW460-11-11-14-LB5,D-Mannose,1,0,0.0,"cpd11574,cpd00244,cpd00138",3
Pedobacter sp. GW460-11-11-14-LB5,D-Salicin,1,0,0.0,"cpd11574,cpd00244,cpd01030",3
Pedobacter sp. GW460-11-11-14-LB5,D-Trehalose dihydrate,1,0,0.0,"cpd11574,cpd00244,cpd00166",3
Pedobacter sp. GW460-11-11-14-LB5,L-Arabinose,1,0,0.0,"cpd11574,cpd00244,cpd00224",3
Pedobacter sp. GW460-11-11-14-LB5,L-Cysteine hydrochloride monohydrate,1,0,0.0,"cpd11574,cpd00244,cpd00084",3
Pedobacter sp. GW460-11-11-14-LB5,Lactulose,1,0,0.0,"cpd11574,cpd00244,cpd04349",3
Pedobacter sp. GW460-11-11-14-LB5,N-Acetyl-D-Glucosamine,1,0,0.0,"cpd11574,cpd00244,cpd00122",3
Phaeobacter inhibens DSM 17395,D-Fructose,1,0,0.0,"cpd10515,cpd00082",2
Phaeobacter inhibens DSM 17395,D-Glucose,1,0,0.0,"cpd10515,cpd00027",2
Phaeobacter inhibens DSM 17395,D-Mannose,1,0,0.0,"cpd10515,cpd00138",2
Phaeobacter inhibens DSM 17395,D-Sorbitol,1,0,0.0,"cpd10515,cpd00588",2
Phaeobacter inhibens DSM 17395,D-Trehalose dihydrate,1,0,0.0,"cpd10515,cpd00166",2
Phaeobacter inhibens DSM 17395,L-Asparagine,1,0,0.0,cpd10515,1
Phaeobacter inhibens DSM 17395,L-Citrulline,1,0,0.0,"cpd10515,cpd00274",2
Phaeobacter inhibens DSM 17395,L-Malic acid disodium salt monohydrate,1,0,0.0,"cpd10515,cpd00130",2
Phaeobacter inhibens DSM 17395,L-Serine,1,0,0.0,"cpd10515,cpd00054",2
Phaeobacter inhibens DSM 17395,L-Threonine,1,0,0.0,"cpd10515,cpd00161",2
Phaeobacter inhibens DSM 17395,N-Acetyl-D-Glucosamine,1,0,0.0,"cpd10515,cpd00122",2
Phaeobacter inhibens DSM 17395,"Sodium D,L-Lactate",1,0,0.0,"cpd10515,cpd00159",2
Phaeobacter inhibens DSM 17395,Sodium L-Lactate,1,0,0.0,"cpd10515,cpd00159",2
Phaeobacter inhibens DSM 17395,Sodium butyrate,1,0,0.0,"cpd10515,cpd00211",2
Phaeobacter inhibens DSM 17395,Sodium propionate,1,0,0.0,"cpd10515,cpd00141",2
Phaeobacter inhibens DSM 17395,Trisodium citrate dihydrate,1,0,0.0,cpd10515,1
Phaeobacter inhibens DSM 17395,a-Ketoglutaric acid disodium salt hydrate,1,0,0.0,"cpd10515,cpd00024",2
Phaeobacter inhibens DSM 17395,m-Inositol,1,0,0.0,"cpd10515,cpd00121",2
Pseudomonas putida KT2440,"1,2-Propanediol",1,0,0.0,"cpd10515,cpd00453",2
Pseudomonas putida KT2440,"1,3-Butandiol",1,0,0.0,"cpd10515,cpd00738",2
Pseudomonas putida KT2440,1-Pentanol,1,0,0.0,"cpd10515,cpd16586",2
Pseudomonas putida KT2440,2-methyl-1-butanol,1,0,0.0,"cpd10515,cpd16873",2
Pseudomonas putida KT2440,3-Methyl-2-Oxobutanoic Acid,1,0,0.0,"cpd10515,cpd00123",2
Pseudomonas putida KT2440,3-methyl-1-butanol,1,0,0.0,"cpd10515,cpd04533",2
Pseudomonas putida KT2440,3-methyl-2-oxopentanoic acid,1,0,0.0,"cpd10515,cpd00508",2
