organism,orgId,carbon_source,error
Acidovorax sp. GW101-3H11,acidovorax_3H11,Disodium Glutarate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Ethanol,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Ferulic Acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Fumaric acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Gly-Glu,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Glycerol,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Glycine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Glycolic Acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Heptanoic acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Hexanoic acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Hydroxy-L-Proline,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Inosine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Isomaltose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Itaconic Acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Alanine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Arabinose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Arginine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Asparagine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Aspartic Acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Citrulline,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Cysteine hydrochloride monohydrate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Fucose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Glutamic acid monopotassium salt monohydrate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Glutamine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Histidine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Isoleucine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Leucine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Lysine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Malic acid disodium salt monohydrate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Methionine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Ornithine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Phenylalanine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Proline,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Serine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Sorbose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Threonine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Tryptophan,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-Valine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,L-tyrosine disodium salt,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Lacto-N-tetraose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Lactulose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Lauric acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Levulinic Acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Malonic acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Melibiose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Myristic acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,N-Acetyl-D-Glucosamine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Nonanoic acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Octanoic acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Oleic acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Phenylacetic acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Pimelic acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Potassium acetate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Protocatechuic Acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Putrescine Dihydrochloride,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Sebacic acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Shikimic Acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,"Sodium D,L-Lactate",FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Sodium D-Lactate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Sodium Formate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Sodium Fumarate dibasic,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Sodium L-Lactate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Sodium acetate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Sodium adipate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Sodium butyrate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Sodium octanoate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Sodium propionate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Sodium pyruvate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Sodium succinate dibasic hexahydrate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Succinic Acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Thymidine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Trisodium citrate dihydrate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Uridine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Valeric acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Vanillic Acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Vanillin,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Xylitol,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,a-Ketoglutaric acid disodium salt hydrate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,benzoic acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,m-Inositol,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,p-Coumaric acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,palatinose hydrate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,"1,2-Propanediol",FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,"1,3-Butandiol",FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,1-Pentanol,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,2-Deoxy-D-Ribose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,2-methyl-1-butanol,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,3-Methyl-2-Oxobutanoic Acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,3-methyl-1-butanol,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,3-methyl-2-oxopentanoic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,4-Aminobutyric acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,4-Hydroxybenzoic Acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,4-Methyl-2-oxovaleric acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,5-Aminovaleric acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Adenosine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Agro_defined_trehalose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Beta-Lactose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Butanol,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Citric Acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Cytidine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,"D,L-Malic Acid",FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Alanine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Arabinose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Fructose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Galactose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Galacturonic Acid monohydrate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Glucosamine Hydrochloride,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Glucose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Glucose-6-Phosphate sodium salt,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Lysine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Mannitol,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Mannose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Raffinose pentahydrate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Ribose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Salicin,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Serine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Sorbitol,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Tagatose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Trehalose dihydrate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,D-Xylose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Decanoic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Disodium Glutarate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Ethanol,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Ferulic Acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Fumaric acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Gly-Glu,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Glycerol,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Glycine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Glycolic Acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Heptanoic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Hexanoic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Hydroxy-L-Proline,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Inosine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Isomaltose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Itaconic Acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Alanine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Arabinose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Arginine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Asparagine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Aspartic Acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Citrulline,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Cysteine hydrochloride monohydrate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Fucose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Glutamic acid monopotassium salt monohydrate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Glutamine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Histidine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Isoleucine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Leucine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Lysine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Malic acid disodium salt monohydrate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Methionine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Ornithine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Phenylalanine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Proline,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Serine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Sorbose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Threonine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Tryptophan,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-Valine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,L-tyrosine disodium salt,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Lacto-N-tetraose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Lactulose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Lauric acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Levulinic Acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Malonic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Melibiose,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Myristic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,N-Acetyl-D-Glucosamine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Nonanoic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Octanoic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Oleic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Phenylacetic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Pimelic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Potassium acetate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Protocatechuic Acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Putrescine Dihydrochloride,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Sebacic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Shikimic Acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,"Sodium D,L-Lactate",FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Sodium D-Lactate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Sodium Formate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Sodium Fumarate dibasic,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Sodium L-Lactate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Sodium acetate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Sodium adipate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Sodium butyrate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Sodium octanoate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Sodium propionate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Sodium pyruvate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Sodium succinate dibasic hexahydrate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Succinic Acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Thymidine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Trisodium citrate dihydrate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Uridine,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Valeric acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Vanillic Acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Vanillin,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,Xylitol,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,a-Ketoglutaric acid disodium salt hydrate,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,benzoic acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,m-Inositol,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,p-Coumaric acid,FBA error: 'cpd00007'
Azospirillum brasilense Sp245,azobra,palatinose hydrate,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,"1,2-Propanediol",FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,"1,3-Butandiol",FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,1-Pentanol,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,2-Deoxy-D-Ribose,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,2-methyl-1-butanol,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,3-Methyl-2-Oxobutanoic Acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,3-methyl-1-butanol,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,3-methyl-2-oxopentanoic acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,4-Aminobutyric acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,4-Hydroxybenzoic Acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,4-Methyl-2-oxovaleric acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,5-Aminovaleric acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Adenosine,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Agro_defined_trehalose,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Beta-Lactose,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Butanol,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Citric Acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Cytidine,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,"D,L-Malic Acid",FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Alanine,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Arabinose,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Fructose,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Galactose,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Galacturonic Acid monohydrate,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Glucosamine Hydrochloride,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Glucose,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Glucose-6-Phosphate sodium salt,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Lysine,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Mannitol,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Mannose,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Raffinose pentahydrate,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Ribose,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Salicin,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Serine,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Sorbitol,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Tagatose,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Trehalose dihydrate,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,D-Xylose,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Decanoic acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Disodium Glutarate,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Ethanol,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Ferulic Acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Fumaric acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Gly-Glu,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Glycerol,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Glycine,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Glycolic Acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Heptanoic acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Hexanoic acid,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Hydroxy-L-Proline,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Inosine,FBA error: 'cpd00007'
Bacteroides thetaiotaomicron VPI-5482,Btheta,Isomaltose,FBA error: 'cpd00007'
